Species,Name,current,RCP2.6,RCP2.6_CSH,Type_1,RCP6.0,RCP6.0_CSH,Type_2,RCP8.5,RCP8.5_CSH,Type_3
sp1,Abelia chinensis,2668,3202,0.2,LR,2684,0.01,LR,2716,0.02,LR
sp2,Abelia forrestii,245,544,1.22,LR,495,1.02,LR,344,0.4,LR
sp3,Abelia uniflora,2474,1751,-0.29,LR,1823,-0.26,LR,1629,-0.34,VU
sp4,Abies beshanzuensis var. ziyuanensis,44,0,-1,EX,0,-1,EX,0,-1,EX
sp5,Abies chayuensis,97,0,-1,EX,0,-1,EX,0,-1,EX
sp6,Abies chensiensis,434,433,0,LR,543,0.25,LR,549,0.26,LR
sp7,Abies delavayi,518,1125,1.17,LR,1103,1.13,LR,993,0.92,LR
sp8,Abies delavayi var. motuoensis,266,538,1.02,LR,527,0.98,LR,147,-0.45,VU
sp9,Abies ernestii,1292,1537,0.19,LR,1569,0.21,LR,1501,0.16,LR
sp10,Abies ernestii var. salouenensis,571,1209,1.12,LR,1158,1.03,LR,1069,0.87,LR
sp11,Abies fabri,570,1273,1.23,LR,1254,1.2,LR,847,0.49,LR
sp12,Abies fargesii,940,1150,0.22,LR,1240,0.32,LR,970,0.03,LR
sp13,Abies fargesii var. faxoniana,798,1169,0.46,LR,1078,0.35,LR,900,0.13,LR
sp14,Abies ferreana,553,1021,0.85,LR,925,0.67,LR,840,0.52,LR
sp15,Abies ferreana var. longibracteata,55,0,-1,EX,0,-1,EX,0,-1,EX
sp16,Abies forrestii,962,1886,0.96,LR,2018,1.1,LR,1899,0.97,LR
sp17,Abies georgei,1090,1481,0.36,LR,1419,0.3,LR,1332,0.22,LR
sp18,Abies georgei var. smithii,1109,1507,0.36,LR,1451,0.31,LR,1332,0.2,LR
sp19,Abies holophylla,569,685,0.2,LR,570,0,LR,737,0.3,LR
sp20,Abies kawakamii,25,27,0.08,LR,26,0.04,LR,22,-0.12,LR
sp21,Abies nephrolepis,1624,2458,0.51,LR,2404,0.48,LR,1936,0.19,LR
sp22,Abies nukiangensis,152,95,-0.38,VU,99,-0.35,VU,23,-0.85,CE
sp23,Abies recurvata,570,245,-0.57,EN,242,-0.58,EN,207,-0.64,EN
sp24,Abies sibirica,61,36,-0.41,VU,23,-0.62,EN,18,-0.7,EN
sp25,Abies spectabilis,168,68,-0.6,EN,47,-0.72,EN,6,-0.96,CE
sp26,Abies squamata,1158,1290,0.11,LR,1275,0.1,LR,1150,-0.01,LR
sp27,Abrus precatorius,878,980,0.12,LR,1115,0.27,LR,1118,0.27,LR
sp28,Abrus pulchellus,36,78,1.17,LR,67,0.86,LR,29,-0.19,LR
sp29,Abrus pulchellus ssp. mollis,811,1093,0.35,LR,1316,0.62,LR,1464,0.81,LR
sp30,Abutilon gebauerianum,509,493,-0.03,LR,413,-0.19,LR,160,-0.69,EN
sp31,Abutilon paniculatum,539,1017,0.89,LR,945,0.75,LR,885,0.64,LR
