Species,Name,Current,RCP2.6,RCP2.6CSH,Type1,RCP6.0,RCP6.0CSH,Type2,RCP8.5,RCP8.5CSH,Type3
sp1,Abelia chinensis,2668,3254,0.22,LR,2741,0.03,LR,2770,0.04,LR
sp2,Abelia forrestii,245,857,2.5,LR,815,2.33,LR,554,1.26,LR
sp3,Abelia uniflora,2474,1871,-0.24,LR,1996,-0.19,LR,1917,-0.23,LR
sp4,Abies beshanzuensis var. ziyuanensis,44,0,-1,EX,0,-1,EX,0,-1,EX
sp5,Abies chayuensis,97,18,-0.81,CE,14,-0.86,CE,16,-0.84,CE
sp6,Abies chensiensis,434,449,0.03,LR,573,0.32,LR,645,0.49,LR
sp7,Abies delavayi,518,1881,2.63,LR,1953,2.77,LR,1786,2.45,LR
sp8,Abies delavayi var. motuoensis,266,1184,3.45,LR,1370,4.15,LR,256,-0.04,LR
sp9,Abies ernestii,1292,1693,0.31,LR,1775,0.37,LR,1736,0.34,LR
sp10,Abies ernestii var. salouenensis,571,1868,2.27,LR,1885,2.3,LR,1783,2.12,LR
sp11,Abies fabri,570,1513,1.65,LR,1450,1.54,LR,924,0.62,LR
sp12,Abies fargesii,940,1258,0.34,LR,1568,0.67,LR,1678,0.79,LR
sp13,Abies fargesii var. faxoniana,798,2759,2.46,LR,2542,2.19,LR,2365,1.96,LR
sp14,Abies ferreana,553,1654,1.99,LR,1635,1.96,LR,1524,1.76,LR
sp15,Abies ferreana var. longibracteata,55,16,-0.71,EN,20,-0.64,EN,18,-0.67,EN
sp16,Abies forrestii,962,2173,1.26,LR,2364,1.46,LR,2217,1.3,LR
sp17,Abies georgei,1090,1729,0.59,LR,1681,0.54,LR,1547,0.42,LR
sp18,Abies georgei var. smithii,1109,1795,0.62,LR,1763,0.59,LR,1665,0.5,LR
sp19,Abies holophylla,569,763,0.34,LR,648,0.14,LR,760,0.34,LR
sp20,Abies kawakamii,25,27,0.08,LR,26,0.04,LR,22,-0.12,LR
sp21,Abies nephrolepis,1624,3020,0.86,LR,2970,0.83,LR,2211,0.36,LR
sp22,Abies nukiangensis,152,432,1.84,LR,475,2.13,LR,373,1.45,LR
sp23,Abies recurvata,570,261,-0.54,EN,248,-0.56,EN,212,-0.63,EN
sp24,Abies sibirica,61,97,0.59,LR,85,0.39,LR,62,0.02,LR
sp25,Abies spectabilis,168,426,1.54,LR,317,0.89,LR,11,-0.93,CE
sp26,Abies squamata,1158,1426,0.23,LR,1423,0.23,LR,1272,0.1,LR
sp27,Abrus precatorius,878,1052,0.2,LR,1215,0.38,LR,1204,0.37,LR
sp28,Abrus pulchellus,36,84,1.33,LR,70,0.94,LR,29,-0.19,LR
sp29,Abrus pulchellus ssp. mollis,811,1234,0.52,LR,1546,0.91,LR,2129,1.63,LR
sp30,Abutilon gebauerianum,509,646,0.27,LR,611,0.2,LR,325,-0.36,VU
sp31,Abutilon paniculatum,539,1843,2.42,LR,1912,2.55,LR,1801,2.34,LR
sp32,Abutilon sinense,1385,2619,0.89,LR,3062,1.21,LR,3159,1.28,LR
sp33,Acacia caesia,669,1320,0.97,LR,1632,1.44,LR,2037,2.04,LR
sp34,Acacia catechu,398,869,1.18,LR,845,1.12,LR,1314,2.3,LR
sp35,Acacia concinna,2291,2163,-0.06,LR,1836,-0.2,LR,2502,0.09,LR
sp36,Acacia confusa,2250,3301,0.47,LR,3893,0.73,LR,3618,0.61,LR
sp37,Acacia delavayi,988,2164,1.19,LR,2586,1.62,LR,2360,1.39,LR
sp38,Acacia farnesiana,1315,2404,0.83,LR,2634,1,LR,2874,1.19,LR
sp39,Acacia megaladena,931,1708,0.83,LR,1700,0.83,LR,1253,0.35,LR
sp40,Acacia pennata,2564,4596,0.79,LR,4791,0.87,LR,4621,0.8,LR
sp41,Acacia pruinescens,368,115,-0.69,EN,143,-0.61,EN,434,0.18,LR
sp42,Acacia teniana,153,413,1.7,LR,371,1.42,LR,205,0.34,LR
sp43,Acacia vietnamensis,86,40,-0.53,EN,32,-0.63,EN,76,-0.12,LR
sp44,Acacia yunnanensis,738,1628,1.21,LR,1834,1.49,LR,1802,1.44,LR
sp45,Acalypha hispida,121,386,2.19,LR,552,3.56,LR,902,6.45,LR
sp46,Acalypha kerrii,188,150,-0.2,LR,237,0.26,LR,1205,5.41,LR
sp47,Acalypha mairei,1163,2592,1.23,LR,2931,1.52,LR,3258,1.8,LR
sp48,Acalypha schneideriana,1505,2059,0.37,LR,2244,0.49,LR,2540,0.69,LR
sp49,Acantholimon alatavicum,1442,3121,1.16,LR,3122,1.17,LR,3575,1.48,LR
sp50,Acantholimon borodinii,224,249,0.11,LR,346,0.54,LR,425,0.9,LR
sp51,Acantholimon diapensioides,289,440,0.52,LR,535,0.85,LR,497,0.72,LR
sp52,Acantholimon hedinii,478,701,0.47,LR,408,-0.15,LR,517,0.08,LR
sp53,Acantholimon kaschgaricum,193,893,3.63,LR,1279,5.63,LR,1342,5.95,LR
sp54,Acantholimon kokandense,118,39,-0.67,EN,100,-0.15,LR,146,0.24,LR
sp55,Acantholimon laevigatum,60,208,2.47,LR,207,2.45,LR,204,2.4,LR
sp56,Acer acutum,210,444,1.11,LR,253,0.2,LR,77,-0.63,EN
sp57,Acer albopurpurascens,119,288,1.42,LR,309,1.6,LR,139,0.17,LR
sp58,Acer amplum,2438,1972,-0.19,LR,1196,-0.51,EN,1002,-0.59,EN
sp59,Acer amplum ssp. bodinieri,521,171,-0.67,EN,69,-0.87,CE,58,-0.89,CE
sp60,Acer amplum ssp. catalpifolium,373,1538,3.12,LR,1409,2.78,LR,1073,1.88,LR
sp61,Acer amplum ssp. tientaiense,371,816,1.2,LR,621,0.67,LR,306,-0.18,LR
sp62,Acer barbinerve,587,2103,2.58,LR,2067,2.52,LR,1649,1.81,LR
sp63,Acer buergerianum,3635,3914,0.08,LR,3769,0.04,LR,3226,-0.11,LR
sp64,Acer buergerianum var. kaiscianense,43,23,-0.47,VU,68,0.58,LR,60,0.4,LR
sp65,Acer caesium,1646,1564,-0.05,LR,1487,-0.1,LR,1084,-0.34,VU
sp66,Acer campbellii,424,1192,1.81,LR,1319,2.11,LR,1359,2.21,LR
sp67,Acer campbellii var. serratifolium,768,1234,0.61,LR,1285,0.67,LR,726,-0.05,LR
sp68,Acer cappadocicum,1523,2046,0.34,LR,2106,0.38,LR,1516,0,LR
sp69,Acer cappadocicum ssp. sinicum,1890,3350,0.77,LR,3630,0.92,LR,2648,0.4,LR
sp70,Acer caudatifolium,89,416,3.67,LR,361,3.06,LR,366,3.11,LR
sp71,Acer caudatum,1653,1666,0.01,LR,1464,-0.11,LR,990,-0.4,VU
sp72,Acer ceriferum,1865,2224,0.19,LR,2207,0.18,LR,1706,-0.09,LR
sp73,Acer chienii,255,220,-0.14,LR,304,0.19,LR,403,0.58,LR
sp74,Acer chingii,639,686,0.07,LR,455,-0.29,LR,215,-0.66,EN
sp75,Acer confertifolium,355,1042,1.94,LR,1141,2.21,LR,1230,2.46,LR
sp76,Acer cordatum,2305,2646,0.15,LR,2158,-0.06,LR,1753,-0.24,LR
sp77,Acer coriaceifolium,1089,788,-0.28,LR,500,-0.54,EN,432,-0.6,EN
sp78,Acer crassum,126,81,-0.36,VU,76,-0.4,VU,351,1.79,LR
sp79,Acer davidii,4732,3977,-0.16,LR,3997,-0.16,LR,2789,-0.41,VU
sp80,Acer davidii ssp. grosseri,1965,1940,-0.01,LR,1662,-0.15,LR,1223,-0.38,VU
sp81,Acer duplicatoserratum var. chinense,134,154,0.15,LR,62,-0.54,EN,37,-0.72,EN
sp82,Acer elegantulum,734,1323,0.8,LR,987,0.34,LR,612,-0.17,LR
sp83,Acer erianthum,1518,1315,-0.13,LR,1080,-0.29,LR,710,-0.53,EN
sp84,Acer fabri,2972,1318,-0.56,EN,742,-0.75,EN,1274,-0.57,EN
sp85,Acer flabellatum,2638,2472,-0.06,LR,2256,-0.14,LR,1909,-0.28,LR
sp86,Acer forrestii,989,1335,0.35,LR,1325,0.34,LR,1137,0.15,LR
sp87,Acer fulvescens,1063,932,-0.12,LR,958,-0.1,LR,605,-0.43,VU
sp88,Acer griseum,940,1352,0.44,LR,1354,0.44,LR,698,-0.26,LR
sp89,Acer henryi,3109,3405,0.1,LR,3344,0.08,LR,2530,-0.19,LR
sp90,Acer komarovii,740,2350,2.18,LR,2515,2.4,LR,2455,2.32,LR
sp91,Acer kungshanense,181,51,-0.72,EN,70,-0.61,EN,133,-0.27,LR
sp92,Acer kwangnanense,213,75,-0.65,EN,37,-0.83,CE,460,1.16,LR
sp93,Acer kweilinense,604,1,-1,EX,3,-1,EX,130,-0.78,EN
sp94,Acer laevigatum,2328,2169,-0.07,LR,1714,-0.26,LR,1469,-0.37,VU
sp95,Acer laevigatum var. salweenense,42,41,-0.02,LR,69,0.64,LR,81,0.93,LR
sp96,Acer laurinum,1229,2288,0.86,LR,2464,1,LR,1901,0.55,LR
sp97,Acer laxiflorum,876,1808,1.06,LR,2142,1.45,LR,2255,1.57,LR
sp98,Acer leipoense,121,1362,10.26,LR,1280,9.58,LR,808,5.68,LR
sp99,Acer linganense,450,894,0.99,LR,511,0.14,LR,247,-0.45,VU
sp100,Acer longipes,1827,1258,-0.31,VU,524,-0.71,EN,364,-0.8,CE
sp101,Acer lucidum,1821,2313,0.27,LR,2209,0.21,LR,2117,0.16,LR
sp102,Acer lungshengense,157,43,-0.73,EN,13,-0.92,CE,31,-0.8,CE
sp103,Acer mandshuricum,774,2810,2.63,LR,2715,2.51,LR,1912,1.47,LR
sp104,Acer maximowiczii,1812,2268,0.25,LR,2477,0.37,LR,2826,0.56,LR
sp105,Acer metcalfii,1173,1092,-0.07,LR,636,-0.46,VU,1094,-0.07,LR
sp106,Acer miaoshanicum,43,0,-1,EX,0,-1,EX,6,-0.86,CE
sp107,Acer miaotaiense,558,1278,1.29,LR,1098,0.97,LR,322,-0.42,VU
sp108,Acer morrisonense,41,48,0.17,LR,46,0.12,LR,40,-0.02,LR
sp109,Acer nikoense,700,1373,0.96,LR,684,-0.02,LR,562,-0.2,LR
sp110,Acer oblongum,3335,3086,-0.07,LR,2988,-0.1,LR,2656,-0.2,LR
sp111,Acer oligocarpum,284,2752,8.69,LR,3015,9.62,LR,1564,4.51,LR
sp112,Acer oliverianum,3321,2764,-0.17,LR,2469,-0.26,LR,1847,-0.44,VU
sp113,Acer palmatum,2747,2628,-0.04,LR,2006,-0.27,LR,1390,-0.49,VU
sp114,Acer pauciflorum,675,854,0.27,LR,234,-0.65,EN,192,-0.72,EN
sp115,Acer paxii,874,2017,1.31,LR,2498,1.86,LR,2365,1.71,LR
sp116,Acer pectinatum,1193,3315,1.78,LR,3578,2,LR,2279,0.91,LR
sp117,Acer pectinatum ssp. taronense,690,1835,1.66,LR,1953,1.83,LR,1981,1.87,LR
sp118,Acer pentaphyllum,113,458,3.05,LR,418,2.7,LR,148,0.31,LR
sp119,Acer pictum ssp. macropterum,1880,3129,0.66,LR,3242,0.72,LR,3099,0.65,LR
sp120,Acer pictum ssp. mono,5071,4893,-0.04,LR,4637,-0.09,LR,4342,-0.14,LR
sp121,Acer pictum ssp. tricuspis,828,1185,0.43,LR,1405,0.7,LR,825,0,LR
sp122,Acer pilosum var. stenolobum,502,270,-0.46,VU,406,-0.19,LR,1006,1,LR
sp123,Acer pinnatinervium,106,91,-0.14,LR,101,-0.05,LR,102,-0.04,LR
sp124,Acer pseudosieboldianum,381,964,1.53,LR,730,0.92,LR,884,1.32,LR
sp125,Acer pubinerve,1581,1262,-0.2,LR,563,-0.64,EN,321,-0.8,CE
sp126,Acer pubipetiolatum,899,2218,1.47,LR,2205,1.45,LR,1034,0.15,LR
sp127,Acer pubipetiolatum var. pingpienense,337,251,-0.26,LR,85,-0.75,EN,138,-0.59,EN
sp128,Acer shenkanense,1733,1460,-0.16,LR,1427,-0.18,LR,1127,-0.35,VU
sp129,Acer sikkimense,1334,2307,0.73,LR,2305,0.73,LR,1583,0.19,LR
sp130,Acer sinense,3752,2829,-0.25,LR,2209,-0.41,VU,1385,-0.63,EN
sp131,Acer sino-oblongum,274,126,-0.54,EN,84,-0.69,EN,220,-0.2,LR
sp132,Acer sinopurpurascens,443,278,-0.37,VU,55,-0.88,CE,12,-0.97,CE
sp133,Acer stachyophyllum,1198,2794,1.33,LR,2923,1.44,LR,1644,0.37,LR
sp134,Acer stachyophyllum ssp. betulifolium,1929,2383,0.24,LR,2458,0.27,LR,2641,0.37,LR
sp135,Acer sterculiaceum,315,946,2,LR,1068,2.39,LR,1078,2.42,LR
sp136,Acer sterculiaceum ssp. franchetii,1753,2168,0.24,LR,2400,0.37,LR,2322,0.32,LR
sp137,Acer sutchuenense,404,1077,1.67,LR,910,1.25,LR,628,0.55,LR
sp138,Acer sycopseoides,79,0,-1,EX,0,-1,EX,11,-0.86,CE
sp139,Acer tataricum ssp. ginnala,4534,4675,0.03,LR,4178,-0.08,LR,3878,-0.14,LR
sp140,Acer tataricum ssp. semenovii,145,161,0.11,LR,155,0.07,LR,44,-0.7,EN
sp141,Acer tataricum ssp. theiferum,1428,1297,-0.09,LR,1048,-0.27,LR,1372,-0.04,LR
sp142,Acer tegmentosum,1055,3006,1.85,LR,2968,1.81,LR,2508,1.38,LR
sp143,Acer thomsonii,205,1916,8.35,LR,2015,8.83,LR,869,3.24,LR
sp144,Acer tibetense,85,15,-0.82,CE,12,-0.86,CE,15,-0.82,CE
sp145,Acer tonkinense,1036,2513,1.43,LR,2782,1.69,LR,2507,1.42,LR
sp146,Acer triflorum,611,1061,0.74,LR,954,0.56,LR,994,0.63,LR
sp147,Acer truncatum,2685,3712,0.38,LR,3308,0.23,LR,2143,-0.2,LR
sp148,Acer tsinglingense,1280,3919,2.06,LR,4571,2.57,LR,3090,1.41,LR
sp149,Acer tutcheri,1870,2120,0.13,LR,1964,0.05,LR,1422,-0.24,LR
sp150,Acer ukurunduense,695,1976,1.84,LR,1951,1.81,LR,1316,0.89,LR
sp151,Acer wangchii,570,670,0.18,LR,826,0.45,LR,1484,1.6,LR
sp152,Acer wardii,336,466,0.39,LR,479,0.43,LR,464,0.38,LR
sp153,Acer wilsonii,2142,778,-0.64,EN,478,-0.78,EN,453,-0.79,EN
sp154,Acidosasa chienouensis,29,1,-0.97,CE,8,-0.72,EN,4,-0.86,CE
sp155,Acidosasa nanunica,494,1792,2.63,LR,2051,3.15,LR,2095,3.24,LR
sp156,Acidosasa notata,115,421,2.66,LR,374,2.25,LR,103,-0.1,LR
sp157,Acidosasa purpurea,53,6,-0.89,CE,4,-0.92,CE,112,1.11,LR
sp158,Acrocarpus fraxinifolius,529,933,0.76,LR,903,0.71,LR,904,0.71,LR
sp159,Acronychia pedunculata,1260,1996,0.58,LR,2229,0.77,LR,2323,0.84,LR
sp160,Actephila excelsa,231,563,1.44,LR,751,2.25,LR,742,2.21,LR
sp161,Actephila merrilliana,276,973,2.53,LR,1222,3.43,LR,1541,4.58,LR
sp162,Actinidia arguta,4004,5045,0.26,LR,4282,0.07,LR,2291,-0.43,VU
sp163,Actinidia arguta var. giraldii,589,355,-0.4,VU,140,-0.76,EN,217,-0.63,EN
sp164,Actinidia callosa,3665,2623,-0.28,LR,2168,-0.41,VU,2023,-0.45,VU
sp165,Actinidia callosa var. discolor,2242,2498,0.11,LR,2168,-0.03,LR,2000,-0.11,LR
sp166,Actinidia callosa var. henryi,3374,3562,0.06,LR,3293,-0.02,LR,2562,-0.24,LR
sp167,Actinidia callosa var. strigillosa,378,603,0.6,LR,561,0.48,LR,458,0.21,LR
sp168,Actinidia chengkouensis,217,68,-0.69,EN,54,-0.75,EN,15,-0.93,CE
sp169,Actinidia chinensis,3412,3474,0.02,LR,3107,-0.09,LR,2668,-0.22,LR
sp170,Actinidia chinensis var. deliciosa,1927,1430,-0.26,LR,1166,-0.39,VU,1070,-0.44,VU
sp171,Actinidia chrysantha,1212,1596,0.32,LR,1451,0.2,LR,959,-0.21,LR
sp172,Actinidia cylindrica,161,107,-0.34,VU,75,-0.53,EN,412,1.56,LR
sp173,Actinidia eriantha,1690,2078,0.23,LR,1657,-0.02,LR,1410,-0.17,LR
sp174,Actinidia fasciculoides,141,30,-0.79,EN,41,-0.71,EN,349,1.48,LR
sp175,Actinidia fasciculoides var. cuneata,56,33,-0.41,VU,49,-0.13,LR,187,2.34,LR
sp176,Actinidia fortunatii,1102,1102,0,LR,1115,0.01,LR,569,-0.48,VU
sp177,Actinidia fulvicoma,1971,2209,0.12,LR,1838,-0.07,LR,2954,0.5,LR
sp178,Actinidia fulvicoma var. cinerascens,1000,1452,0.45,LR,1280,0.28,LR,1083,0.08,LR
sp179,Actinidia fulvicoma var. hirsuta,1364,498,-0.63,EN,193,-0.86,CE,347,-0.75,EN
sp180,Actinidia fulvicoma var. pachyphylla,253,1232,3.87,LR,817,2.23,LR,590,1.33,LR
sp181,Actinidia glaucocallosa,138,297,1.15,LR,222,0.61,LR,21,-0.85,CE
sp182,Actinidia hemsleyana,969,2209,1.28,LR,1677,0.73,LR,983,0.01,LR
sp183,Actinidia henryi,758,357,-0.53,EN,251,-0.67,EN,693,-0.09,LR
sp184,Actinidia indochinensis,638,93,-0.85,CE,127,-0.8,CE,589,-0.08,LR
sp185,Actinidia kolomikta,1796,2581,0.44,LR,2364,0.32,LR,1936,0.08,LR
sp186,Actinidia lanceolata,1514,1693,0.12,LR,1185,-0.22,LR,768,-0.49,VU
sp187,Actinidia latifolia,2755,3361,0.22,LR,3404,0.24,LR,3930,0.43,LR
sp188,Actinidia latifolia var. mollis,342,516,0.51,LR,239,-0.3,VU,616,0.8,LR
sp189,Actinidia liangguangensis,379,363,-0.04,LR,139,-0.63,EN,329,-0.13,LR
sp190,Actinidia macrosperma,1366,2383,0.74,LR,1942,0.42,LR,1447,0.06,LR
sp191,Actinidia macrosperma var. mumoides,84,23,-0.73,EN,2,-0.98,CE,0,-1,EX
sp192,Actinidia melanandra,2057,2806,0.36,LR,2567,0.25,LR,1147,-0.44,VU
sp193,Actinidia melanandra var. glabrescens,206,687,2.33,LR,111,-0.46,VU,95,-0.54,EN
sp194,Actinidia melliana,1238,1261,0.02,LR,1059,-0.14,LR,939,-0.24,LR
sp195,Actinidia obovata,405,3329,7.22,LR,3533,7.72,LR,1737,3.29,LR
sp196,Actinidia pilosula,431,272,-0.37,VU,234,-0.46,VU,199,-0.54,EN
sp197,Actinidia polygama,3127,4196,0.34,LR,3615,0.16,LR,2094,-0.33,VU
sp198,Actinidia rubricaulis,2061,2184,0.06,LR,1800,-0.13,LR,1948,-0.05,LR
sp199,Actinidia rubricaulis var. coriacea,1916,1399,-0.27,LR,1184,-0.38,VU,1403,-0.27,LR
sp200,Actinidia rubus,110,218,0.98,LR,238,1.16,LR,173,0.57,LR
sp201,Actinidia rudis,298,505,0.69,LR,515,0.73,LR,484,0.62,LR
sp202,Actinidia rudis var. glabricaulis,95,104,0.09,LR,44,-0.54,EN,96,0.01,LR
sp203,Actinidia rufotricha var. glomerata,44,18,-0.59,EN,9,-0.8,CE,213,3.84,LR
sp204,Actinidia sabiifolia,960,1302,0.36,LR,1049,0.09,LR,562,-0.41,VU
sp205,Actinidia sorbifolia,224,15,-0.93,CE,11,-0.95,CE,78,-0.65,EN
sp206,Actinidia styracifolia,785,1850,1.36,LR,1368,0.74,LR,736,-0.06,LR
sp207,Actinidia tetramera,1305,2222,0.7,LR,2412,0.85,LR,1311,0,LR
sp208,Actinidia trichogyna,684,535,-0.22,LR,296,-0.57,EN,499,-0.27,LR
sp209,Actinidia umbelloides,315,543,0.72,LR,524,0.66,LR,78,-0.75,EN
sp210,Actinidia valvata,1576,2269,0.44,LR,1779,0.13,LR,948,-0.4,VU
sp211,Actinidia venosa,1353,2287,0.69,LR,2444,0.81,LR,1417,0.05,LR
sp212,Actinidia vitifolia,106,614,4.79,LR,636,5,LR,267,1.52,LR
sp213,Actinidia zhejiangensis,140,833,4.95,LR,522,2.73,LR,343,1.45,LR
sp214,Actinodaphne acuminata,507,341,-0.33,VU,653,0.29,LR,343,-0.32,VU
sp215,Actinodaphne cupularis,2578,1946,-0.25,LR,1487,-0.42,VU,1271,-0.51,EN
sp216,Actinodaphne forrestii,882,1041,0.18,LR,864,-0.02,LR,901,0.02,LR
sp217,Actinodaphne glaucina,49,26,-0.47,VU,39,-0.2,LR,66,0.35,LR
sp218,Actinodaphne henryi,147,315,1.14,LR,323,1.2,LR,198,0.35,LR
sp219,Actinodaphne koshepangii,488,587,0.2,LR,469,-0.04,LR,296,-0.39,VU
sp220,Actinodaphne kweichowensis,91,30,-0.67,EN,9,-0.9,CE,13,-0.86,CE
sp221,Actinodaphne lecomtei,1247,1335,0.07,LR,965,-0.23,LR,1089,-0.13,LR
sp222,Actinodaphne obovata,611,2039,2.34,LR,1914,2.13,LR,1131,0.85,LR
sp223,Actinodaphne omeiensis,195,1270,5.51,LR,1384,6.1,LR,411,1.11,LR
sp224,Actinodaphne pilosa,791,1167,0.48,LR,973,0.23,LR,876,0.11,LR
sp225,Actinodaphne trichocarpa,1218,1842,0.51,LR,1884,0.55,LR,1499,0.23,LR
sp226,Actinodaphne tsaii,288,917,2.18,LR,884,2.07,LR,1338,3.65,LR
sp227,Adenanthera microsperma,1846,2550,0.38,LR,2909,0.58,LR,3581,0.94,LR
sp228,Adenia cardiophylla,225,407,0.81,LR,475,1.11,LR,182,-0.19,LR
sp229,Adhatoda vasica,943,1106,0.17,LR,1043,0.11,LR,872,-0.08,LR
sp230,Adina pilulifera,2825,3303,0.17,LR,3382,0.2,LR,3298,0.17,LR
sp231,Adina rubella,2950,3161,0.07,LR,2744,-0.07,LR,2565,-0.13,LR
sp232,Adinandra bockiana,2271,1929,-0.15,LR,2149,-0.05,LR,1847,-0.19,LR
sp233,Adinandra bockiana var. acutifolia,1780,2303,0.29,LR,2360,0.33,LR,1576,-0.11,LR
sp234,Adinandra formosana,79,342,3.33,LR,414,4.24,LR,221,1.8,LR
sp235,Adinandra glischroloma,1493,1674,0.12,LR,1590,0.06,LR,1305,-0.13,LR
sp236,Adinandra glischroloma var. jubata,42,24,-0.43,VU,30,-0.29,LR,3,-0.93,CE
sp237,Adinandra glischroloma var. macrosepala,1293,2007,0.55,LR,1884,0.46,LR,1182,-0.09,LR
sp238,Adinandra hainanensis,292,306,0.05,LR,289,-0.01,LR,897,2.07,LR
sp239,Adinandra hirta,1440,2670,0.85,LR,2692,0.87,LR,1636,0.14,LR
sp240,Adinandra lancipetala,182,38,-0.79,EN,37,-0.8,CE,93,-0.49,VU
sp241,Adinandra megaphylla,230,12,-0.95,CE,18,-0.92,CE,517,1.25,LR
sp242,Adinandra millettii,2667,2915,0.09,LR,2816,0.06,LR,2561,-0.04,LR
sp243,Adinandra nigroglandulosa,52,10,-0.81,CE,18,-0.65,EN,208,3,LR
sp244,Adinandra nitida,1155,217,-0.81,CE,157,-0.86,CE,439,-0.62,EN
sp245,Aegle marmelos,120,526,3.38,LR,519,3.33,LR,306,1.55,LR
sp246,Aeschynanthus acuminatissimus,44,8,-0.82,CE,5,-0.89,CE,154,2.5,LR
sp247,Aeschynanthus acuminatus,1982,3153,0.59,LR,3349,0.69,LR,3628,0.83,LR
sp248,Aeschynanthus angustissimus,115,739,5.43,LR,780,5.78,LR,181,0.57,LR
sp249,Aeschynanthus austroyunnanensis,603,1188,0.97,LR,1332,1.21,LR,1335,1.21,LR
sp250,Aeschynanthus austroyunnanensis var. guangxiensis,150,49,-0.67,EN,47,-0.69,EN,416,1.77,LR
sp251,Aeschynanthus bracteatus,1255,3091,1.46,LR,3309,1.64,LR,2655,1.12,LR
sp252,Aeschynanthus buxifolius,544,538,-0.01,LR,315,-0.42,VU,557,0.02,LR
sp253,Aeschynanthus dolichanthus,104,749,6.2,LR,825,6.93,LR,46,-0.56,EN
sp254,Aeschynanthus hookeri,461,623,0.35,LR,576,0.25,LR,302,-0.34,VU
sp255,Aeschynanthus humilis,49,38,-0.22,LR,38,-0.22,LR,77,0.57,LR
sp256,Aeschynanthus lasiocalyx,88,449,4.1,LR,580,5.59,LR,55,-0.38,VU
sp257,Aeschynanthus linearifolius,576,1475,1.56,LR,1553,1.7,LR,557,-0.03,LR
sp258,Aeschynanthus lineatus,387,838,1.17,LR,798,1.06,LR,688,0.78,LR
