Species,Name,current,RCP2.6,RCP2.6_CSH,Type_1,RCP6.0,RCP6.0_CSH,Type_2,RCP8.5,RCP8.5_CSH,Type_3
sp1,Abelia chinensis,2668,2499,-0.06,LR,2213,-0.17,LR,2321,-0.13,LR
sp2,Abelia forrestii,245,106,-0.57,EN,77,-0.69,EN,82,-0.67,CE
sp3,Abelia uniflora,2474,1430,-0.42,VU,1252,-0.49,VU,845,-0.66,EN
sp4,Abies beshanzuensis var. ziyuanensis,44,0,-1,EX,0,-1,EX,0,-1,EX
sp5,Abies chayuensis,97,0,-1,EX,0,-1,EX,0,-1,EX
sp6,Abies chensiensis,434,243,-0.44,VU,228,-0.47,VU,199,-0.54,EN
sp7,Abies delavayi,518,362,-0.3,VU,326,-0.37,VU,265,-0.49,VU
sp8,Abies delavayi var. motuoensis,266,194,-0.27,LR,190,-0.29,LR,93,-0.65,EN
sp9,Abies ernestii,1292,1081,-0.16,LR,1002,-0.22,LR,918,-0.29,LR
sp10,Abies ernestii var. salouenensis,571,440,-0.23,LR,379,-0.34,VU,311,-0.46,VU
sp11,Abies fabri,570,545,-0.04,LR,540,-0.05,LR,456,-0.2,LR
sp12,Abies fargesii,940,685,-0.27,LR,607,-0.35,VU,510,-0.46,VU
sp13,Abies fargesii var. faxoniana,798,653,-0.18,LR,627,-0.21,LR,571,-0.28,LR
sp14,Abies ferreana,553,445,-0.2,LR,400,-0.28,LR,330,-0.4,VU
sp15,Abies ferreana var. longibracteata,55,0,-1,EX,0,-1,EX,0,-1,EX
sp16,Abies forrestii,962,848,-0.12,LR,859,-0.11,LR,841,-0.13,LR
sp17,Abies georgei,1090,867,-0.2,LR,809,-0.26,LR,759,-0.3,VU
sp18,Abies georgei var. smithii,1109,909,-0.18,LR,866,-0.22,LR,797,-0.28,LR
sp19,Abies holophylla,569,408,-0.28,LR,404,-0.29,LR,398,-0.3,VU
sp20,Abies kawakamii,25,24,-0.04,LR,23,-0.08,LR,20,-0.2,LR
sp21,Abies nephrolepis,1624,1503,-0.07,LR,1500,-0.08,LR,1300,-0.2,LR
sp22,Abies nukiangensis,152,49,-0.68,EN,49,-0.68,EN,7,-0.95,CE
sp23,Abies recurvata,570,149,-0.74,EN,156,-0.73,EN,145,-0.75,EN
sp24,Abies sibirica,61,32,-0.48,VU,22,-0.64,EN,17,-0.72,EN
sp25,Abies spectabilis,168,31,-0.82,CE,23,-0.86,CE,1,-0.99,CE
sp26,Abies squamata,1158,1037,-0.1,LR,1005,-0.13,LR,923,-0.2,LR
sp27,Abrus precatorius,878,647,-0.26,LR,662,-0.25,LR,688,-0.22,LR
sp28,Abrus pulchellus,36,30,-0.17,LR,22,-0.39,VU,9,-0.75,EN
sp29,Abrus pulchellus ssp. mollis,811,808,0,LR,811,0,LR,811,0,LR
sp30,Abutilon gebauerianum,509,305,-0.4,VU,252,-0.5,EN,105,-0.79,EN
sp31,Abutilon paniculatum,539,393,-0.27,LR,332,-0.38,VU,306,-0.43,VU
sp32,Abutilon sinense,1385,1029,-0.26,LR,1105,-0.2,LR,1062,-0.23,LR
sp33,Acacia caesia,669,259,-0.61,EN,321,-0.52,EN,471,-0.3,VU
sp34,Acacia catechu,398,385,-0.03,LR,368,-0.08,LR,395,-0.01,LR
sp35,Acacia concinna,2291,1579,-0.31,VU,1178,-0.49,VU,1714,-0.25,LR
sp36,Acacia confusa,2250,2248,0,LR,2241,0,LR,2238,-0.01,LR
sp37,Acacia delavayi,988,838,-0.15,LR,860,-0.13,LR,862,-0.13,LR
sp38,Acacia farnesiana,1315,1237,-0.06,LR,1196,-0.09,LR,1204,-0.08,LR
sp39,Acacia megaladena,931,901,-0.03,LR,875,-0.06,LR,709,-0.24,LR
sp40,Acacia pennata,2564,2452,-0.04,LR,2414,-0.06,LR,2439,-0.05,LR
sp41,Acacia pruinescens,368,5,-0.99,CE,5,-0.99,CE,140,-0.62,EN
sp42,Acacia teniana,153,22,-0.86,CE,25,-0.84,CE,39,-0.75,EN
sp43,Acacia vietnamensis,86,1,-0.99,CE,1,-0.99,CE,2,-0.98,CE
sp44,Acacia yunnanensis,738,251,-0.66,EN,252,-0.66,EN,274,-0.63,EN
sp45,Acalypha hispida,121,121,0,LR,121,0,LR,121,0,LR
sp46,Acalypha kerrii,188,20,-0.89,CE,22,-0.88,CE,159,-0.15,LR
sp47,Acalypha mairei,1163,946,-0.19,LR,1023,-0.12,LR,1136,-0.02,LR
sp48,Acalypha schneideriana,1505,606,-0.6,EN,585,-0.61,EN,726,-0.52,EN
sp49,Acantholimon alatavicum,1442,1237,-0.14,LR,1215,-0.16,LR,1291,-0.1,LR
sp50,Acantholimon borodinii,224,2,-0.99,CE,0,-1,EX,2,-0.99,CE
sp51,Acantholimon diapensioides,289,13,-0.96,CE,1,-1,EX,2,-0.99,CE
sp52,Acantholimon hedinii,478,108,-0.77,EN,33,-0.93,CE,89,-0.81,CE
sp53,Acantholimon kaschgaricum,193,112,-0.42,VU,116,-0.4,VU,70,-0.64,EN
sp54,Acantholimon kokandense,118,0,-1,EX,0,-1,EX,0,-1,EX
sp55,Acantholimon laevigatum,60,23,-0.62,EN,28,-0.53,EN,34,-0.43,VU
sp56,Acer acutum,210,175,-0.17,LR,92,-0.56,EN,54,-0.74,EN
sp57,Acer albopurpurascens,119,82,-0.31,VU,76,-0.36,VU,71,-0.4,VU
sp58,Acer amplum,2438,1368,-0.44,VU,773,-0.68,EN,619,-0.75,EN
sp59,Acer amplum ssp. bodinieri,521,136,-0.74,EN,61,-0.88,CE,27,-0.95,CE
sp60,Acer amplum ssp. catalpifolium,373,303,-0.19,LR,322,-0.14,LR,257,-0.31,VU
sp61,Acer amplum ssp. tientaiense,371,344,-0.07,LR,300,-0.19,LR,236,-0.36,VU
sp62,Acer barbinerve,587,561,-0.04,LR,559,-0.05,LR,529,-0.1,LR
sp63,Acer buergerianum,3635,3328,-0.08,LR,3185,-0.12,LR,2811,-0.23,LR
sp64,Acer buergerianum var. kaiscianense,43,5,-0.88,CE,21,-0.51,EN,12,-0.72,EN
sp65,Acer caesium,1646,1121,-0.32,VU,1029,-0.37,VU,735,-0.55,EN
sp66,Acer campbellii,424,236,-0.44,VU,230,-0.46,VU,217,-0.49,VU
sp67,Acer campbellii var. serratifolium,768,598,-0.22,LR,559,-0.27,LR,340,-0.56,EN
sp68,Acer cappadocicum,1523,1161,-0.24,LR,1102,-0.28,LR,762,-0.5,EN
sp69,Acer cappadocicum ssp. sinicum,1890,1635,-0.13,LR,1595,-0.16,LR,1107,-0.41,VU
sp70,Acer caudatifolium,89,82,-0.08,LR,80,-0.1,LR,75,-0.16,LR
sp71,Acer caudatum,1653,1207,-0.27,LR,1044,-0.37,VU,735,-0.56,EN
sp72,Acer ceriferum,1865,1314,-0.3,VU,992,-0.47,VU,538,-0.71,EN
sp73,Acer chienii,255,31,-0.88,CE,6,-0.98,CE,12,-0.95,CE
sp74,Acer chingii,639,243,-0.62,EN,80,-0.87,CE,40,-0.94,CE
sp75,Acer confertifolium,355,327,-0.08,LR,283,-0.2,LR,247,-0.3,VU
sp76,Acer cordatum,2305,2196,-0.05,LR,1817,-0.21,LR,1597,-0.31,VU
sp77,Acer coriaceifolium,1089,467,-0.57,EN,266,-0.76,EN,220,-0.8,CE
sp78,Acer crassum,126,2,-0.98,CE,0,-1,EX,57,-0.55,EN
