Gridcode,LON,LAT,bio4,bio10,bio11,bio15,bio16,bio17,forest,grassland,farmland,urban,barren,sand,BD,PH,OC
100040198,123.2127848,53.45993696,1704.43,16.39,-25.1,98.64,287.37,15.64,0.9016,0.0951,0,0,0,1.509,757.584,5.733,106.375
100040199,123.490117,53.44767305,1725.7,16.68,-25.38,98.32,287.84,17.19,0.8361,0.1278,0.0056,0,0.0194,1.489,763.345,5.746,103.849
100040200,123.7681195,53.41337385,1718.97,16.68,-25.2,97.45,291.69,18.5,0.7372,0.2024,0,0,0.0574,1.538,778.52,5.765,99.319
100050194,122.0171063,53.36375172,1696.15,15.8,-25.57,102.02,285.33,12.83,0.8772,0.1018,0.007,0,0.014,1.481,754.405,5.635,117.391
100050195,122.300136,53.36640745,1692.83,15.78,-25.57,101.48,287.45,14.12,0.8422,0.1374,0,0,0.0204,1.493,764.493,5.567,114.127
100050196,122.5878677,53.34474638,1723.29,16.07,-26.09,100.83,287.1,15.12,0.675,0.265,0.01,0,0.05,1.54,787.205,5.647,106.673
100050197,122.8750244,53.3209271,1715.93,16.13,-25.8,99.8,289.11,15.97,0.675,0.2675,0.015,0,0.0425,1.555,786.99,5.654,103.872
100050198,123.1619764,53.29656877,1719.55,16.42,-25.57,99.27,288.62,16.38,0.5125,0.385,0.0175,0,0.085,1.622,792.918,5.798,101.662
100050199,123.4487074,53.27168155,1701.8,16.39,-25.09,98.59,293.76,17.55,0.625,0.34,0,0,0.035,1.572,785.732,5.737,102.529
100050200,123.7352128,53.24626634,1696.45,16.67,-24.69,98.79,295.48,17.72,0.8725,0.095,0.005,0,0.0275,1.519,759.088,5.744,108.935
100050201,124.0214885,53.22033908,1678.26,16.56,-24.38,98.08,300.18,18.3,0.9075,0.0825,0,0,0.01,1.525,743.993,5.707,105.604
100050202,124.2962186,53.18788661,1694.74,16.94,-24.39,97.86,298.4,18.09,0.8937,0.0736,0.0082,0,0.0245,1.626,785.3,5.86,106.356
100050203,124.5843619,53.13603884,1681.98,17.04,-23.99,98.28,299.85,16.73,0.963,0.0333,0,0,0.0037,1.533,735.203,5.823,112.185
100050204,124.8943213,53.10625135,1688.04,17.27,-23.89,97.43,300.19,16.92,0.917,0.0456,0,0,0.0041,1.554,754.367,5.881,110.663
100050205,125.157387,53.10249147,1679.82,17.41,-23.56,96.58,301.99,17.27,0.9587,0.0331,0,0,0.0083,1.639,761.086,5.873,109.38
100050206,125.4256488,53.04816191,1681.74,17.54,-23.5,95.7,303.22,18.52,0.8894,0.0979,0,0,0.0128,1.665,784.587,5.903,106.04
100060191,121.1110304,53.23127999,1605.89,15.27,-23.87,106.6,291.08,11.2,0.9578,0.0422,0,0,0,1.641,786.937,5.714,134.956
100060192,121.4114251,53.23847022,1679.9,15.74,-25.23,105.57,284.44,11.25,0.9915,0.0085,0,0,0,1.601,789.793,5.728,130.964
100060193,121.6910324,53.22805035,1639.77,15.38,-24.57,103.68,292.88,12.09,0.985,0.015,0,0,0,1.563,754.262,5.606,119.088
100060194,121.9780076,53.20589969,1680.06,15.4,-25.67,102.26,294.79,13.71,0.84,0.1525,0,0,0.0075,1.532,775.508,5.451,112.155
100060195,122.2647772,53.18323068,1696.26,15.6,-25.88,101.54,293.26,15.45,0.585,0.3125,0,0,0.1025,1.64,791.275,5.602,112.027
100060196,122.5513413,53.16003228,1732.43,15.95,-26.47,101.05,291.57,15.7,0.66,0.2375,0.0125,0,0.09,1.572,789.461,5.622,107.39
100060197,122.8376953,53.13630535,1709.16,15.79,-26.08,100.59,296.67,15.88,0.6675,0.3,0.0075,0,0.025,1.539,796.043,5.556,107.252
100060198,123.1238347,53.11205074,1704.8,15.98,-25.77,100.35,297.57,16.35,0.57,0.4125,0,0,0.0175,1.548,769.858,5.606,108.109
