Gridcode,bio4,bio10,bio11,bio15,bio16,bio17,forest,grassland,farmland,urban,barren,sand,BD,PH,OC
100040198,1616.4,19.54,-21.7,97.22,320.06,16.89,0.990323,0,0.006452,0,0,1.509,757.584,5.733,106.375
100040199,1606.76,19.69,-21.31,97.43,318.93,15.93,0.988981,0.008264,0.002755,0,0,1.489,763.345,5.746,103.849
100040200,1598.89,19.6,-21.22,97.4,322.07,16,0.991018,0.002994,0.002994,0,0,1.538,778.52,5.765,99.319
100050194,1635.49,19.21,-22.6,98.63,318.75,18.19,1,0,0,0,0,1.481,754.405,5.635,117.391
100050195,1641.59,19.11,-22.82,98,325.44,18.31,0.992462,0,0.005025,0,0,1.493,764.493,5.567,114.127
100050196,1638.44,19.25,-22.6,98,325.75,17.81,1,0,0,0,0,1.54,787.205,5.647,106.673
100050197,1627.97,19.23,-22.36,97.81,326.88,17.63,0.995,0.005,0,0,0,1.555,786.99,5.654,103.872
100050198,1618.25,19.5,-21.8,98,323.6,16.8,0.9975,0.0025,0,0,0,1.622,792.918,5.798,101.662
100050199,1607.35,19.46,-21.57,97.88,326.31,16.75,1,0,0,0,0,1.572,785.732,5.737,102.529
100050200,1601.41,19.66,-21.24,98,324.81,15.81,0.9975,0,0.0025,0,0,1.519,759.088,5.744,108.935
100050201,1597.04,19.41,-21.39,97.31,332.81,17.56,1,0,0,0,0,1.525,743.993,5.707,105.604
100050202,1598.83,19.82,-21.04,97,330.81,17.75,0.99458,0,0.00271,0,0,1.626,785.3,5.86,106.356
100050203,1602.54,20.07,-20.93,96.93,333,17.93,0.988971,0,0,0,0,1.533,735.203,5.823,112.185
100050204,1606.63,20.13,-20.98,96.1,339,18.8,0.958506,0.008299,0.024896,0.008299,0,1.554,754.367,5.881,110.663
100050205,1611.36,20.15,-21.12,95.27,343.73,20.73,0.980874,0,0.005464,0.005464,0,1.639,761.086,5.873,109.38
100050206,1617.91,20.37,-21.1,95,345.64,21,0.995868,0,0,0,0,1.665,784.587,5.903,106.04
100060191,1596.78,18.6,-22.19,100.63,319.38,18.63,1,0,0,0,0,1.641,786.937,5.714,134.956
100060192,1609.97,18.91,-22.25,100.07,316.79,18.43,1,0,0,0,0,1.601,789.793,5.728,130.964
100060193,1616.15,18.46,-22.84,99.5,326.44,18.94,1,0,0,0,0,1.563,754.262,5.606,119.088
100060194,1624.35,18.32,-23.18,98.75,333.95,19.4,0.9975,0.0025,0,0,0,1.532,775.508,5.451,112.155
100060195,1631.61,18.61,-23.04,98.25,334.13,18.94,1,0,0,0,0,1.64,791.275,5.602,112.027
100060196,1633.36,19.08,-22.66,98.38,330.19,17.75,1,0,0,0,0,1.572,789.461,5.622,107.39
100060197,1625.01,18.94,-22.56,98.19,333.5,17.63,0.9975,0,0.0025,0,0,1.539,796.043,5.556,107.252
100060198,1617.07,19.18,-22.11,98.2,331.55,17.2,0.9975,0,0.0025,0,0,1.548,769.858,5.606,108.109
100060199,1607.98,19.26,-21.82,98.38,332.38,16.56,1,0,0,0,0,1.562,770.882,5.564,113.938
100060200,1599.96,18.89,-21.97,98,341.38,17.56,1,0,0,0,0,1.539,747.752,5.532,113.179
100060201,1598.7,19.36,-21.48,97.69,336.44,17.94,1,0,0,0,0,1.659,758.61,5.663,116.508
100060202,1598.14,19.54,-21.33,97.69,338.13,17.88,1,0,0,0,0,1.541,755.26,5.682,110.791
100060203,1600.83,19.7,-21.25,97.2,341.35,18,1,0,0,0,0,1.585,760.782,5.766,110.939
100060204,1604.51,19.78,-21.28,96.69,346.13,18.69,1,0,0,0,0,1.542,732.689,5.738,109.648
100060205,1609.36,20.01,-21.22,95.88,347.31,20.88,1,0,0,0,0,1.6,777.85,5.829,102.942
100060206,1615.15,20.16,-21.23,95.31,350,21,0.99,0,0,0.01,0,1.723,818.082,5.88,94.864
100060207,1621.76,20.59,-21.02,94.69,348.75,22.13,0.987138,0,0.006431,0.003215,0,1.646,827.278,5.928,90.302
100070190,1583.11,18.14,-22.33,101.25,326.44,19.25,1,0,0,0,0,1.868,780.443,5.721,117.54
100070191,1591.09,17.93,-22.75,100.44,331.69,19.63,1,0,0,0,0,1.785,783.213,5.698,132.561
100070192,1604.44,18.51,-22.5,100.19,324.25,18.69,1,0,0,0,0,1.679,799.515,5.743,120.992
100070193,1610.51,18.18,-22.99,99.69,333.5,19.25,1,0,0,0,0,1.644,750.062,5.62,125.891
100070194,1619.93,18.33,-23.06,99,335.15,19.1,1,0,0,0,0,1.795,796.428,5.692,115.747
100070195,1628.91,18.93,-22.71,99,330.38,18.13,0.9975,0,0.0025,0,0,1.724,800.548,5.695,108.964
100070196,1629.29,19.2,-22.44,98.94,329.19,17.25,0.9525,0.0175,0.005,0.025,0,1.627,805.738,5.801,105.351
100070197,1620.58,18.7,-22.69,98.94,339.5,17.94,0.98,0.005,0.005,0.01,0,1.564,796.121,5.585,110.303
100070198,1612.02,18.44,-22.73,98.85,346.5,18.25,0.9575,0.0025,0.0225,0.015,0,1.668,790.68,5.508,112.774
100070199,1604.26,18.55,-22.42,98.94,347.69,17.69,0.9975,0,0,0.0025,0,1.622,768.738,5.395,114.398
100070200,1599.28,18.69,-22.17,98.5,348.44,17.94,0.9975,0,0.0025,0,0,1.635,723.875,5.492,118.992
100070201,1599.22,19.29,-21.59,98.06,341.44,18,1,0,0,0,0,1.647,766.772,5.735,120.214
100070202,1596.91,19.28,-21.55,98,345.31,18,1,0,0,0,0,1.615,771.073,5.652,113.404
100070203,1598.34,19.33,-21.58,98,350.25,18,1,0,0,0,0,1.586,766.379,5.67,113.115
100070204,1601.03,19.13,-21.86,97.31,359.75,19.06,1,0,0,0,0,1.488,726.683,5.546,113.471
100070205,1607.55,19.81,-21.38,96.31,352.06,20.88,1,0,0,0,0,1.701,794.423,5.828,105.032
100070206,1612.94,20.08,-21.29,96,352.5,21,0.995,0,0.0025,0.0025,0,1.728,810.926,5.857,99.171
100070207,1618.25,20.19,-21.33,95.5,357,22.1,1,0,0,0,0,1.623,862.941,5.941,83.706
100070208,1625.63,20.73,-21.04,94.5,354.67,23.42,0.996914,0,0,0,0,1.657,831.026,5.966,80.143
100080189,1575.83,18.34,-21.97,101.57,321.62,18.76,1,0,0,0,0,1.699,782.961,5.797,131.552
100080190,1580.89,17.95,-22.5,101.05,330.8,19.55,1,0,0,0,0,1.769,783.577,5.701,126.89
100080191,1587.25,17.71,-22.89,100.3,337,19.85,1,0,0,0,0,1.799,792.873,5.614,122.87
100080192,1599.76,18.28,-22.63,100.35,329.7,19.05,0.9975,0,0,0,0,1.785,779.483,5.645,124.439
100080193,1603.73,17.63,-23.37,99.8,344,19.85,1,0,0,0,0,1.775,747.225,5.492,128.899
